

===============================================      Match : 73 ================================== 
310 , 157 , 855 
303 , 312 , 856 
391 , 157 , 861 
390 , 301 , 857 
494 , 225 , 862 


===============================================      Match : 555 ================================== 
Equipe 1 
43 , 225 , 820 
141 , 97 , 823 
132 , 199 , 824 
136 , 295 , 825 
133 , 391 , 826 
233 , 125 , 830 
235 , 236 , 831 
237 , 352 , 832 
356 , 157 , 837 
356 , 317 , 833 
454 , 221 , 838 
Equipe 2 
50 , 225 , 1067 
139 , 124 , 1070 
138 , 236 , 1071 
137 , 345 , 1072 
239 , 99 , 1073 
246 , 194 , 1077 
248 , 298 , 1078 
242 , 389 , 1079 
347 , 148 , 1084 
346 , 296 , 1080 
455 , 225 , 1085 


===============================================      Match : 556 ================================== 
Equipe 1 
50 , 225 , 1045 
116 , 164 , 1048 
115 , 314 , 1049 
210 , 155 , 1050 
214 , 308 , 1051 
311 , 159 , 1055 
311 , 314 , 1056 
393 , 126 , 1057 
402 , 245 , 1062 
396 , 367 , 1058 
492 , 224 , 1063 
Equipe 2 
51 , 225 , 797 
144 , 127 , 800 
146 , 240 , 801 
145 , 363 , 802 
261 , 107 , 803 
256 , 201 , 807 
255 , 301 , 808 
254 , 409 , 809 
354 , 149 , 814 
361 , 297 , 810 
459 , 223 , 815 


===============================================      Match : 557 ================================== 
Equipe 1 
48 , 225 , 775 
110 , 225 , 778 
172 , 219 , 779 
245 , 120 , 780 
248 , 226 , 781 
242 , 347 , 785 
313 , 230 , 786 
391 , 152 , 787 
395 , 303 , 792 
460 , 215 , 788 
532 , 223 , 793 
Equipe 2 
45 , 225 , 1021 
136 , 130 , 1024 
134 , 245 , 1025 
136 , 368 , 1026 
248 , 115 , 1027 
248 , 231 , 1031 
240 , 347 , 1032 
359 , 121 , 1033 
354 , 244 , 1038 
353 , 371 , 1034 
452 , 223 , 1039 


===============================================      Match : 558 ================================== 
Equipe 1 
45 , 225 , 998 
111 , 230 , 1001 
188 , 160 , 1002 
187 , 306 , 1003 
251 , 125 , 1004 
247 , 235 , 1008 
252 , 358 , 1009 
318 , 227 , 1010 
393 , 227 , 1015 
457 , 224 , 1011 
517 , 228 , 1016 
Equipe 2 
50 , 225 , 751 
153 , 101 , 754 
151 , 207 , 755 
146 , 302 , 756 
154 , 406 , 757 
256 , 96 , 761 
252 , 195 , 762 
255 , 287 , 763 
255 , 380 , 768 
342 , 223 , 764 
455 , 217 , 769 


===============================================      Match : 559 ================================== 
Equipe 1 
47 , 225 , 912 
108 , 222 , 915 
168 , 224 , 916 
237 , 157 , 917 
234 , 314 , 918 
308 , 158 , 922 
313 , 306 , 923 
377 , 153 , 924 
379 , 297 , 929 
451 , 227 , 925 
519 , 223 , 930 
Equipe 2 
46 , 225 , 977 
122 , 225 , 980 
221 , 101 , 981 
224 , 191 , 982 
226 , 278 , 983 
226 , 377 , 987 
300 , 154 , 988 
298 , 309 , 989 
402 , 151 , 994 
406 , 302 , 990 
494 , 226 , 995 


===============================================      Match : 560 ================================== 
Equipe 1 
44 , 225 , 955 
132 , 123 , 958 
128 , 243 , 959 
131 , 359 , 960 
214 , 128 , 961 
217 , 251 , 965 
216 , 365 , 966 
317 , 163 , 967 
317 , 313 , 972 
407 , 227 , 968 
487 , 220 , 973 
Equipe 2 
45 , 225 , 934 
125 , 103 , 937 
126 , 194 , 938 
128 , 293 , 939 
128 , 391 , 940 
210 , 221 , 944 
307 , 158 , 945 
310 , 305 , 946 
399 , 158 , 951 
399 , 314 , 947 
493 , 230 , 952 


===============================================      Match : 793 ================================== 
Equipe 1 
45 , 225 , 1232 
127 , 231 , 1235 
214 , 156 , 1236 
215 , 301 , 1237 
303 , 99 , 1238 
298 , 200 , 1242 
300 , 293 , 1243 
300 , 385 , 1244 
407 , 147 , 1249 
409 , 300 , 1245 
489 , 220 , 1250 
Equipe 2 
47 , 225 , 1090 
110 , 159 , 1093 
109 , 321 , 1094 
203 , 115 , 1095 
203 , 227 , 1096 
198 , 345 , 1100 
278 , 224 , 1101 
360 , 157 , 1102 
367 , 296 , 1107 
438 , 223 , 1103 
520 , 221 , 1108 


===============================================      Match : 794 ================================== 
Equipe 1 
46 , 225 , 1256 
131 , 159 , 1259 
128 , 308 , 1260 
253 , 95 , 1261 
247 , 195 , 1262 
255 , 282 , 1266 
254 , 377 , 1267 
359 , 121 , 1268 
357 , 244 , 1273 
361 , 366 , 1269 
448 , 230 , 1274 
Equipe 2 
47 , 225 , 1209 
120 , 220 , 1212 
185 , 219 , 1213 
272 , 100 , 1214 
273 , 189 , 1215 
273 , 287 , 1219 
270 , 382 , 1220 
353 , 151 , 1221 
352 , 311 , 1226 
428 , 218 , 1222 
517 , 233 , 1227 


===============================================      Match : 795 ================================== 
Equipe 1 
50 , 225 , 1187 
139 , 101 , 1190 
133 , 201 , 1191 
134 , 308 , 1192 
136 , 405 , 1193 
257 , 218 , 1197 
366 , 98 , 1198 
362 , 195 , 1199 
366 , 293 , 1204 
362 , 380 , 1200 
463 , 228 , 1205 
Equipe 2 
45 , 225 , 1436 
112 , 227 , 1439 
201 , 220 , 1440 
266 , 154 , 1441 
269 , 308 , 1442 
357 , 101 , 1446 
359 , 191 , 1447 
357 , 282 , 1448 
351 , 372 , 1453 
432 , 219 , 1449 
521 , 226 , 1454 


===============================================      Match : 796 ================================== 
Equipe 1 
44 , 225 , 1413 
103 , 102 , 1416 
101 , 193 , 1417 
106 , 290 , 1418 
102 , 379 , 1419 
202 , 222 , 1423 
276 , 158 , 1424 
280 , 307 , 1425 
358 , 228 , 1430 
438 , 225 , 1426 
